Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
2CLCmesc_4_S6_2	(1.0, 57.462315964639785)	(2.0, 10.058430009347429)	(3.0, 4.060967362678925)	(4.0, 2.400987047585077)	(5.0, 1.678558563281669)	(6.0, 1.2636235884821778)	(7.0, 1.024884030609466)	(8.0, 0.8570975676360412)	(9.0, 0.780663452904954)	('>10', 8.084302082527273)	('>50', 2.3705774131170942)	('>100', 3.5475924082505474)	('>500', 0.8151477628388047)	('>1k', 0.8781029693668825)	('>5k', 0.5205520209645366)	('>10k+', 4.196197755769418)
2CLCmesc_5_RR_S13_1	(1.0, 94.08951755715348)	(2.0, 2.7122175746011115)	(3.0, 0.6648187532014423)	(4.0, 0.35319518841046665)	(5.0, 0.24030965546735722)	(6.0, 0.15763557289575184)	(7.0, 0.11937453595515579)	(8.0, 0.10981099607365327)	(9.0, 0.07059364886899314)	('>10', 0.6130473753467577)	('>50', 0.18870041371788346)	('>100', 0.37462655902374636)	('>500', 0.0935768907143646)	('>1k', 0.11540100618450955)	('>5k', 0.09717427238526762)	('>10k+', 0.0)
2CLCmesc_5_RR_S13_2	(1.0, 49.76687975629371)	(2.0, 8.203588971449246)	(3.0, 3.2828650569989883)	(4.0, 2.000470317325045)	(5.0, 1.5144346388432661)	(6.0, 1.1447100455979191)	(7.0, 0.9995951785667239)	(8.0, 0.7931110788884641)	(9.0, 0.7276301591286336)	('>10', 9.997134812352447)	('>50', 3.4156403933435033)	('>100', 8.788844763151014)	('>500', 3.918607204611324)	('>1k', 3.0230758688213344)	('>5k', 0.2779065934742122)	('>10k+', 2.1455051611542153)
2CLCmesc_5_S7_1	(1.0, 92.19028260068582)	(2.0, 4.044243449612896)	(3.0, 0.9296212619787412)	(4.0, 0.43512033632742886)	(5.0, 0.26044418733789915)	(6.0, 0.19364669432823728)	(7.0, 0.14667953211353413)	(8.0, 0.12276603783538802)	(9.0, 0.10990227467476457)	('>10', 0.7261738389403997)	('>50', 0.1294312466215755)	('>100', 0.23321619252982573)	('>500', 0.0857950807375174)	('>1k', 0.18372782407107863)	('>5k', 0.030083116192563535)	('>10k+', 0.17886632601233562)
2CLCmesc_5_S7_2	(1.0, 51.38641667352426)	(2.0, 10.541048125279035)	(3.0, 4.589012126303203)	(4.0, 2.7961642175128065)	(5.0, 1.9944558013225608)	(6.0, 1.4876441692142826)	(7.0, 1.2982551700228981)	(8.0, 0.9769454179135877)	(9.0, 0.8472655248494316)	('>10', 10.437043625009776)	('>50', 3.3553912703611473)	('>100', 4.996646691250227)	('>500', 1.0088153246079612)	('>1k', 1.1324058923435913)	('>5k', 0.3073263555357041)	('>10k+', 2.845163614949591)
2CLCmesc_6_RR_S14_1	(1.0, 81.4309341169137)	(2.0, 4.57027574832277)	(3.0, 1.3552044150468123)	(4.0, 0.7828742864461736)	(5.0, 0.5483880186589404)	(6.0, 0.37834500321223463)	(7.0, 0.3171129425145975)	(8.0, 0.26058317630606076)	(9.0, 0.21796008797711539)	('>10', 2.6872512025297577)	('>50', 0.7252373879525363)	('>100', 1.6291043644732872)	('>500', 0.7183880105021652)	('>1k', 1.9221300974294993)	('>5k', 0.7928547201625237)	('>10k+', 1.6633564215518197)
2CLCmesc_6_RR_S14_2	(1.0, 58.77069908007662)	(2.0, 6.526176348587798)	(3.0, 2.3255676186897785)	(4.0, 1.4066022276742458)	(5.0, 0.980592335148293)	(6.0, 0.7529487823285187)	(7.0, 0.6082287814159226)	(8.0, 0.47682400531876723)	(9.0, 0.41062189510744407)	('>10', 5.157467903039809)	('>50', 1.890533747088563)	('>100', 4.055486310827434)	('>500', 0.9196431043836129)	('>1k', 1.118018837172513)	('>5k', 0.6234210227349649)	('>10k+', 13.977168000405705)
2CLCmesc_6_S8_1	(1.0, 80.02560490573167)	(2.0, 5.189926300711318)	(3.0, 1.5930556929323165)	(4.0, 0.8158304568542581)	(5.0, 0.5298782185731208)	(6.0, 0.4246240777484931)	(7.0, 0.3412705942562075)	(8.0, 0.29087518998176015)	(9.0, 0.2320851236372159)	('>10', 2.8282213895624055)	('>50', 0.7698069207970741)	('>100', 1.6307069950324973)	('>500', 0.8001564656192639)	('>1k', 1.3538747796213562)	('>5k', 0.8707151006278959)	('>10k+', 2.303367788313088)
2CLCmesc_6_S8_2	(1.0, 59.6590305210015)	(2.0, 8.233262665574605)	(3.0, 3.207894860215241)	(4.0, 1.8567859958886106)	(5.0, 1.2919588644954358)	(6.0, 0.9509128605073701)	(7.0, 0.7339821127601135)	(8.0, 0.6374645065462987)	(9.0, 0.5219398732177692)	('>10', 6.054458832635562)	('>50', 1.531747491275523)	('>100', 2.540527103957482)	('>500', 0.5696213496935321)	('>1k', 1.098892880213887)	('>5k', 0.6559743366882688)	('>10k+', 10.455545745328784)
combined_003_1	(1.0, 88.90120367112195)	(2.0, 3.4743158607319495)	(3.0, 1.2282913944512424)	(4.0, 0.7569610465381448)	(5.0, 0.5001196617038572)	(6.0, 0.3391653120561678)	(7.0, 0.25970857279677834)	(8.0, 0.2170772580975304)	(9.0, 0.1782818618224372)	('>10', 2.0907391293791866)	('>50', 0.6573521341118496)	('>100', 0.7513569215330582)	('>500', 0.13842744308045507)	('>1k', 0.25289873363442106)	('>5k', 0.08081894560198508)	('>10k+', 0.1732820533389118)
